v,T
4.00608e+03,1.00000e+00
4.00609e+03,1.00000e+00
4.00610e+03,1.00000e+00
4.00611e+03,1.00000e+00
4.00612e+03,1.00000e+00
4.00613e+03,1.00000e+00
4.00614e+03,1.00000e+00
4.00615e+03,1.00000e+00
4.00616e+03,1.00000e+00
4.00617e+03,1.00000e+00
4.00618e+03,1.00000e+00
4.00619e+03,1.00000e+00
4.00620e+03,1.00000e+00
4.00621e+03,1.00000e+00
4.00622e+03,1.00000e+00
4.00623e+03,1.00000e+00
4.00624e+03,1.00000e+00
4.00625e+03,1.00000e+00
4.00626e+03,1.00000e+00
4.00627e+03,1.00000e+00
4.00628e+03,1.00000e+00
4.00629e+03,1.00000e+00
4.00630e+03,1.00000e+00
4.00631e+03,1.00000e+00
4.00632e+03,1.00000e+00
4.00633e+03,1.00000e+00
4.00634e+03,1.00000e+00
4.00635e+03,1.00000e+00
4.00636e+03,1.00000e+00
4.00637e+03,1.00000e+00
4.00638e+03,1.00000e+00
4.00639e+03,1.00000e+00
4.00640e+03,1.00000e+00
4.00641e+03,1.00000e+00
4.00642e+03,1.00000e+00
4.00643e+03,1.00000e+00
4.00644e+03,1.00000e+00
4.00645e+03,1.00000e+00
4.00646e+03,1.00000e+00
4.00647e+03,1.00000e+00
4.00648e+03,1.00000e+00
4.00649e+03,1.00000e+00
4.00650e+03,1.00000e+00
4.00651e+03,1.00000e+00
4.00652e+03,1.00000e+00
4.00653e+03,1.00000e+00
4.00654e+03,1.00000e+00
4.00655e+03,1.00000e+00
4.00656e+03,1.00000e+00
4.00657e+03,1.00000e+00
4.00658e+03,1.00000e+00
4.00659e+03,1.00000e+00
4.00660e+03,1.00000e+00
4.00661e+03,1.00000e+00
4.00662e+03,1.00000e+00
4.00663e+03,1.00000e+00
4.00664e+03,1.00000e+00
4.00665e+03,1.00000e+00
4.00666e+03,1.00000e+00
4.00667e+03,1.00000e+00
4.00668e+03,1.00000e+00
4.00669e+03,1.00000e+00
4.00670e+03,1.00000e+00
4.00671e+03,1.00000e+00
4.00672e+03,1.00000e+00
4.00673e+03,1.00000e+00
4.00674e+03,1.00000e+00
4.00675e+03,1.00000e+00
4.00676e+03,1.00000e+00
4.00677e+03,1.00000e+00
4.00678e+03,1.00000e+00
4.00679e+03,1.00000e+00
4.00680e+03,1.00000e+00
4.00681e+03,1.00000e+00
4.00682e+03,1.00000e+00
4.00683e+03,1.00000e+00
4.00684e+03,1.00000e+00
4.00685e+03,1.00000e+00
4.00686e+03,1.00000e+00
4.00687e+03,1.00000e+00
4.00688e+03,1.00000e+00
4.00689e+03,1.00000e+00
4.00690e+03,1.00000e+00
4.00691e+03,1.00000e+00
4.00692e+03,1.00000e+00
4.00693e+03,1.00000e+00
4.00694e+03,1.00000e+00
4.00695e+03,1.00000e+00
4.00696e+03,1.00000e+00
4.00697e+03,1.00000e+00
4.00698e+03,1.00000e+00
4.00699e+03,1.00000e+00
4.00700e+03,1.00000e+00
4.00701e+03,1.00000e+00
4.00702e+03,1.00000e+00
4.00703e+03,1.00000e+00
4.00704e+03,1.00000e+00
4.00705e+03,1.00000e+00
4.00706e+03,1.00000e+00
4.00707e+03,1.00000e+00
4.00708e+03,1.00000e+00
4.00709e+03,1.00000e+00
4.00710e+03,1.00000e+00
4.00711e+03,1.00000e+00
4.00712e+03,1.00000e+00
4.00713e+03,1.00000e+00
4.00714e+03,1.00000e+00
4.00715e+03,1.00000e+00
4.00716e+03,1.00000e+00
4.00717e+03,1.00000e+00
4.00718e+03,1.00000e+00
4.00719e+03,1.00000e+00
4.00720e+03,1.00000e+00
4.00721e+03,1.00000e+00
4.00722e+03,1.00000e+00
4.00723e+03,1.00000e+00
4.00724e+03,1.00000e+00
4.00725e+03,1.00000e+00
4.00726e+03,1.00000e+00
4.00727e+03,1.00000e+00
4.00728e+03,1.00000e+00
4.00729e+03,1.00000e+00
4.00730e+03,1.00000e+00
4.00731e+03,1.00000e+00
4.00732e+03,1.00000e+00
4.00733e+03,1.00000e+00
4.00734e+03,1.00000e+00
4.00735e+03,1.00000e+00
4.00736e+03,1.00000e+00
4.00737e+03,1.00000e+00
4.00738e+03,1.00000e+00
4.00739e+03,1.00000e+00
4.00740e+03,1.00000e+00
4.00741e+03,1.00000e+00
4.00742e+03,1.00000e+00
4.00743e+03,1.00000e+00
4.00744e+03,1.00000e+00
4.00745e+03,1.00000e+00
4.00746e+03,1.00000e+00
4.00747e+03,1.00000e+00
4.00748e+03,1.00000e+00
4.00749e+03,1.00000e+00
4.00750e+03,1.00000e+00
4.00751e+03,1.00000e+00
4.00752e+03,1.00000e+00
4.00753e+03,1.00000e+00
4.00754e+03,1.00000e+00
4.00755e+03,1.00000e+00
4.00756e+03,1.00000e+00
4.00757e+03,1.00000e+00
4.00758e+03,1.00000e+00
4.00759e+03,1.00000e+00
4.00760e+03,1.00000e+00
4.00761e+03,1.00000e+00
4.00762e+03,1.00000e+00
4.00763e+03,1.00000e+00
4.00764e+03,1.00000e+00
4.00765e+03,1.00000e+00
4.00766e+03,1.00000e+00
4.00767e+03,1.00000e+00
4.00768e+03,1.00000e+00
4.00769e+03,1.00000e+00
4.00770e+03,1.00000e+00
4.00771e+03,1.00000e+00
4.00772e+03,1.00000e+00
4.00773e+03,1.00000e+00
4.00774e+03,1.00000e+00
4.00775e+03,1.00000e+00
4.00776e+03,1.00000e+00
4.00777e+03,1.00000e+00
4.00778e+03,1.00000e+00
4.00779e+03,1.00000e+00
4.00780e+03,1.00000e+00
4.00781e+03,1.00000e+00
4.00782e+03,1.00000e+00
4.00783e+03,1.00000e+00
4.00784e+03,1.00000e+00
4.00785e+03,1.00000e+00
4.00786e+03,1.00000e+00
4.00787e+03,1.00000e+00
4.00788e+03,1.00000e+00
4.00789e+03,1.00000e+00
4.00790e+03,1.00000e+00
4.00791e+03,1.00000e+00
4.00792e+03,1.00000e+00
4.00793e+03,1.00000e+00
4.00794e+03,1.00000e+00
4.00795e+03,1.00000e+00
4.00796e+03,1.00000e+00
4.00797e+03,1.00000e+00
4.00798e+03,1.00000e+00
4.00799e+03,1.00000e+00
4.00800e+03,1.00000e+00
4.00801e+03,1.00000e+00
4.00802e+03,1.00000e+00
4.00803e+03,1.00000e+00
4.00804e+03,1.00000e+00
4.00805e+03,1.00000e+00
4.00806e+03,1.00000e+00
4.00807e+03,1.00000e+00
4.00808e+03,1.00000e+00
4.00809e+03,1.00000e+00
4.00810e+03,1.00000e+00
4.00811e+03,1.00000e+00
4.00812e+03,1.00000e+00
4.00813e+03,1.00000e+00
4.00814e+03,1.00000e+00
4.00815e+03,1.00000e+00
4.00816e+03,1.00000e+00
4.00817e+03,1.00000e+00
4.00818e+03,1.00000e+00
4.00819e+03,1.00000e+00
4.00820e+03,1.00000e+00
4.00821e+03,1.00000e+00
4.00822e+03,1.00000e+00
